code	prefLabel	broader	definition
20000108	appeal (court)	http://cv.iptc.org/newscodes/mediatopic/20000107	Process in which parties request a formal change to an official decision
20000109	court administration	http://cv.iptc.org/newscodes/mediatopic/20000107	Court clerks, bailiffs, stenographers etc.
20000110	judge	http://cv.iptc.org/newscodes/mediatopic/20000107	Official who decides cases in a court of law and passes sentences on those found guilty
20000111	trial (court)	http://cv.iptc.org/newscodes/mediatopic/20000107	The process by which evidence is presented and guilt, innocence or culpability is determined
20000112	pre-trial	http://cv.iptc.org/newscodes/mediatopic/20000111	Actions that happen before the start of a trial, such as pleas, bail motions, discovery and depositions
20000113	defendant	http://cv.iptc.org/newscodes/mediatopic/20000111	The person on trial
20000114	litigation	http://cv.iptc.org/newscodes/mediatopic/20000111	Taking disputed issues to court for settlement by judge and/or jury
20000115	witness	http://cv.iptc.org/newscodes/mediatopic/20000111	A person who testifies
20000116	out of court procedures	http://cv.iptc.org/newscodes/mediatopic/20000106	Legal issues which are settled outside of court
20000117	arbitration and mediation	http://cv.iptc.org/newscodes/mediatopic/20000116	Resolution of disputed issues by a neutral panel, including conciliation, negotiation and tribunals
20000118	prosecution and prosecutors	http://cv.iptc.org/newscodes/mediatopic/20000106	The process of holding a trial against a person or entity who is accused of a crime to determine guilt and the lawyers and legal team who argue that the accused is guilty
20000119	justice	http://cv.iptc.org/newscodes/mediatopic/02000000	The equitable administration of laws and regulations
20000120	civil rights	http://cv.iptc.org/newscodes/mediatopic/20000587	Guarantees of protection to individuals  freedom from violation by governments, political and social organizations, and other individuals as determined by the laws or constitutions of an individual country
20000121	law	http://cv.iptc.org/newscodes/mediatopic/02000000	The codification of rules of behavior
20000122	civil law	http://cv.iptc.org/newscodes/mediatopic/20000121	The system of law focused on private rights and disputes between individuals in such areas as contracts, torts, property, and family law
20000123	antitrust regulations	http://cv.iptc.org/newscodes/mediatopic/20000124	laws to promote competition between companies for the benefit of consumers
20000124	regulations	http://cv.iptc.org/newscodes/mediatopic/20000122	laws that guide the conduct and organization of business corporations
20000125	criminal law	http://cv.iptc.org/newscodes/mediatopic/20000121	The system of law concerned with the punishment of those who commit crimes
20000126	international law	http://cv.iptc.org/newscodes/mediatopic/20000121	The system of laws embraced by all nations, such as the Geneva Convention and the International Law of the Seas
20000127	extradition	http://cv.iptc.org/newscodes/mediatopic/20000126	Legal transfer of criminals or suspects between countries
20000128	international court and tribunal	http://cv.iptc.org/newscodes/mediatopic/20000126	The activities of courts under the authority of international organizations or formed by treaties between nations, such as the European Court for Human Rights and International Court of Justice
20000129	law enforcement	http://cv.iptc.org/newscodes/mediatopic/02000000	Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws
20000130	arrest	http://cv.iptc.org/newscodes/mediatopic/20000129	The detention of a suspect of a crime
20000131	investigation (criminal)	http://cv.iptc.org/newscodes/mediatopic/20000129	Inquiry into an alleged crime, including searching, interviews, interrogations and evidence collection
20000132	missing person	http://cv.iptc.org/newscodes/mediatopic/20000131	An adult whose disappearance is possibly not voluntary, or a child whose whereabouts are unknown to the child's legal guardian
20000133	police	http://cv.iptc.org/newscodes/mediatopic/20000129	Civil force of a national, regional or local government that is responsible for the prevention and detection of crime and the maintenance of public order
20000134	sentencing (criminal)	http://cv.iptc.org/newscodes/mediatopic/20000111	The retribution handed out to those who break laws
20000135	capital punishment	http://cv.iptc.org/newscodes/mediatopic/20000134	The legally authorized execution of someone as punishment for a crime
20000136	fine (penalty)	http://cv.iptc.org/newscodes/mediatopic/20000134	Money that a court of law or other authority decides has to be paid as punishment for a crime or other offence
20000137	prison	http://cv.iptc.org/newscodes/mediatopic/20000134	Facility where people are held as a punishment for a crime they have committed or while awaiting trial
20000139	accident and emergency incident	http://cv.iptc.org/newscodes/mediatopic/03000000	A sudden, unexpected event that causes unwanted consequences or requires immediate action
20000140	explosion accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000139	Explosions caused by an accidental, non-combat, or non-terrorism source. Also use when the source of the explosion is non-specified or unknown
20000141	industrial accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000139	Any unplanned event or mishap in an industrial setting that result in injuries to people and damage to property or the environment
20000142	nuclear accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000141	Any unplanned event that causes unwanted consequences involving radioactive materials
20000143	transportation accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000139	An accident or incident involving one or more vehicles
20000144	air and space accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000143	An accident or incident involving aircrafts or spacecrafts
20000145	maritime accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000143	An accident or incident involving marine vessels.
20000146	railway accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000143	An accident or incident involving trains.
20000147	road accident and incident	http://cv.iptc.org/newscodes/mediatopic/20000143	An accident or incident involving road vehicles.
20000148	disaster	http://cv.iptc.org/newscodes/mediatopic/03000000	A sudden, unplanned event that causes great damage or loss of life, such as an accident or a natural catastrophe
20000149	famine	http://cv.iptc.org/newscodes/mediatopic/20000148	Severe lack of food for a large population
20000150	fire	http://cv.iptc.org/newscodes/mediatopic/20000148	Fires started by an accidental or unknown source. For wildfires, use wildfire. For fires started with a criminal intent, use arson.
20000151	natural disaster	http://cv.iptc.org/newscodes/mediatopic/20000148	Destructive incidents caused by nature, such as earthquakes and floods
20000152	drought	http://cv.iptc.org/newscodes/mediatopic/20000151	A severe lack of water over a period of time
20000153	earthquake	http://cv.iptc.org/newscodes/mediatopic/20000151	The shifting of the tectonic plates of the Earth, creating in some cases damage to structures
20000154	flood	http://cv.iptc.org/newscodes/mediatopic/20000151	Surfeit of water, caused by heavy rains or melting snow, usually in places where it's not wanted
20000155	landslide	http://cv.iptc.org/newscodes/mediatopic/20000151	Sudden dislodging of massive amounts of snow or soil
