code	name	definition
04013007	textile and clothing	Production of fabrics for furnishings and fixtures, and for clothing of various types 
04013008	tobacco	Growing, producing and sale of tobacco products 
04014000	tourism and leisure	Tourism and leisure industries 
04014001	casino and gambling	The business of providing outlets for various games of chance using cards, dice, spinning wheels to betting on animal races 
04014002	hotel and accommodation	The business of providing food and shelter to travellers 
04014003	recreational and sporting goods	Manufacture of goods for leisure activities 
04014004	restaurant and catering	The business of providing prepared foods for customers in groups large and small 
04014005	tour operator	Operators of trips either locally, as around town, or to other countries 
04015000	transport	The means of getting from one place to the other without walking 
04015001	air transport	Airplane and airport operations 
04015002	railway	The business of transporting people or cargo by rail 
04015003	road transport	The business of transport goods by trucks and highways 
04015004	waterway and maritime transport	Commercial movement of people or goods via boats, ships and water 
04016000	company information	Information about individual companies or business entities 
04016001	accounting and audit	Changes in choice of auditing firm. Reports on impact of changes in GAAP. 
04016002	annual and special corporate meeting	Announcements of upcoming meetings. Reports on meetings. 
04016003	annual report	Availability or contents of annual company reports. 
04016004	antitrust issue	Antitrust activities, monopoly regulation, etc. 
04016005	merger, acquisition and takeover	News on mergers, takeovers or acquisitions. 
04016006	analysts' comment	Stock analyst comments, analysis and recommendations. 
04016007	bankruptcy	Actual bankruptcy filings. 
04016008	board of directors (appointment and change)	Appointments to or changes in the board of directors for a company. 
04016009	buyback	Stock buyback programs. This should be kept distinct from Stock Activity (see below). 
04016010	C.E.O. interview	Interviews with Chief Executive Officers. 
04016011	corporate officer	Appointments or changes in corporate officers. 
04016012	corporate profile	Descriptive profiles of companies. 
04016013	contract	Commercial contracts. 
04016014	defence contract	The award of government contracts for defence related activity. 
04016015	dividend announcement	Announcements regarding the disbursement of dividends. 
04016016	earnings forecast	Analyst prediction of company earnings. 
04016017	financially distressed company	Aa company is financially distressed - not yet having filed for bankruptcy. 
04016018	earnings	Any increase of earnings results. 
04016019	financing and stock offering	New offerings of equity including initial public offerings. 
04016020	government contract	The award of government contracts not related to defence activity 
04016021	global expansion	Planned or actual openings of offices in countries for the first time. 
04016022	insider trading	The purchase or sales of stock by corporate officers or board members. 
04016023	joint venture	Joint ventures between companies. (Not marketing related - see Marketing.) 
04016024	leveraged buyout	Leveraged buyouts. 
04016025	layoffs and downsizing	Planned or actual reductions in the labour force. 
04016026	licensing agreement	Licensing agreements between companies. 
04016027	litigation and regulation	Corporate law including litigation and regulations. 
04016028	management change	Major appointments or changes in management below the level of corporate officer. 
04016029	marketing	Includes news regarding joint marketing agreements between companies, adoption of new product marketing strategies, etc. 
04016030	new product	Announcements of new products. 
04016031	patent, copyright and trademark	News related to patents, copyright and trademarks. 
04016032	plant closing	Announcements of planned or actual plant closings. 
04016033	plant opening	Announcements of planned or actual plant openings. 
04016034	privatisation	Privatisation (privatisation) of state run companies. 
04016035	proxy filing	Filings with regulatory agencies of proxy statements for upcoming shareholder votes. 
04016036	rating	Corporate and sovereign debt and credit ratings (e.g. SandP or Moody's) 
04016037	research and development	Research and expenditure on new product development. 
04016038	quarterly or semiannual financial statement	Availability or contents of quarterly or semi-annual corporate reports. 
04016039	restructuring and recapitalisation	Sale of company units, splits of existing companies into units under a holding company, etc. 
04016040	spin-off	Creation of new companies being spun off from existing companies. 
04016041	stock activity	Announcements of major stock events: splits, block trades, new highs or lows, etc. 
04016042	industrial production	Manufacture of durable and non-durable goods 
04016043	productivity	The cost of labour to produce an item of value, often measured as output per hour per person 
04016044	inventories	Goods not sold and held by the producer, wholesaler or retailer 
04016045	sales	Either the exchange of goods for money, or the practice of discounting prices to increase the amount of goods sold, or to get rid of outdated merchandise 
04016046	corporations	Business enterprises formally licensed with boards of directors and hierarchical structures of governance 
04016047	shareholders	Anyone holding a piece of paper issued by a company which changes in value and entitles them to dividends depending on the performance of the company 
04016048	corporate performance	How well a company performs, measured by its net earnings, its dividends its earnings per share and price/earnings ratio 
04016049	losses	When expenses exceed revenue 
04016050	credit ratings	Formal statements by certain rating agencies such as Standard and Poor's on the investment risk of a company, a country or enterprise 
04016051	stock splits	Issuing multiple shares for one share of stock. Usually occurs when the price of a stock has increased so much that its purchase price is not attractive. A reverse split is when one share is issued for multiple shares, to raise the per share value. 
04016052	stock options	An agreement to either buy or sell a stock when it meets a certain price 
04016053	recalls (products)	A decision by a company to take back or repair a defective product 
04016054	globalization	Doing business around the world 
04016055	consumers	Buyers of goods and services 
04016056	purchase	Items that companies buy, such as raw materials, office supplies etc. 
04016057	new service	New services added by a company, such as new flight routes, etc. 
04017000	economy (general)	Content of a general nature about trade and the economy 
04017001	economic policy	Government directed policy on production, taxes, tariffs and things that affect the direction and health of the economy 
04018000	business (general)	Content of a general nature about business 
04018001	institution	Either an established law, practice or system or an organization having a social, religious, educational or similar purpose such as hospital, school, prison 
04019000	finance (general)	Content of a general nature about finance 
04019001	money and monetary policy	Government bank directed policy on the amount of money in circulation and the rate at which it can be loaned 
05000000	education	All aspects of furthering knowledge of human individuals from birth to death. 
05001000	adult education	Education provided for older students outside the usual age groups of 5-25 
05002000	further education	Any form of education beyond basic education of several levels 
05003000	parent organisation	Groups of parents set up to support schools 
05004000	preschool	Education for children under the national compulsory education age 
05005000	school	A building or institution in which education of various sorts is provided 
05005001	elementary schools	Schools usually of a level from kindergarten through 11 or 12 years of age 
05005002	middle schools	Transitional school between elementary and high school, 12 through 13 years of age 
05005003	high schools	Pre-college/ university level education, 14 to 17 or 18 years of age, called freshman, sophomore, junior and senior 
05006000	teachers union	Organization of teachers for collective bargaining and other purposes 
05007000	university	Institutions of higher learning capable of providing doctorate degrees 
05008000	upbringing	Lessons learned from parents and others as one grows up 
05009000	entrance examination	Exams for entering colleges, universities, junior and senior high schools, and all other higher and lower education institutes, including cram schools, which help students prepare for exams for entry to prestigious schools. 
05010000	teaching and learning	Either end of the education equation 
05010001	students	People of any age in a structured environment, not necessarily a classroom, in order to learn something 
05010002	teachers	People with knowledge who can impart that knowledge to others 
05010003	curriculum	The courses offered by a learning institution and the regulation of those courses 
05010004	test/examination	A measurement of student accomplishment 
05011000	religious education	Instruction by any faith, in that faith or about other faiths, usually, but not always, conducted in schools run by religious bodies 
05011001	parochial school	A school run by the Roman Catholic faith 
05011002	seminary	A school of any faith specifically designed to train ministers 
05011003	yeshiva	A school for training rabbis 
05011004	madrasa	A school for teaching Islam 
06000000	environmental issue	All aspects of protection, damage, and condition of the ecosystem of the planet earth and its surroundings. 
06001000	renewable energy	Environmental impact of renewable energy, including solar, wind, hydro, biomass and geothermal 
06002000	conservation	Preservation of wilderness areas, flora and fauna, including species extinction 
06002001	endangered species	Those species of wildlife in danger of disappearing, largely because of changes in environment, hunting, or weather 
06002002	ecosystem	A system of plants, animals and bacteria interrelated in its physical/chemical environment 
06003000	energy saving	Conservation of electrical, and other power sources 
06004000	environmental politics	The debate on environmental policy 
06005000	environmental pollution	Corruption of air, water, land etc. by harmful substances 
06005001	air pollution	Solid or gaseous matter affecting the quality of air that we breathe 
06005002	water pollution	Solids or liquids that corrupt the quality of water that could be used for drinking or irrigation 
06006000	natural resources	Stories about the environmental issues related to the exploitation of natural resources for human use 
06006001	land resources	That portion of a nation or state that is above water and available for development either for profit or for the general good of the public 
06006002	parks	Areas set aside and developed for public enjoyment and recreation, including commercial development such as theme parks 
06006003	forests	Open areas of trees either available for public enjoyment, or for commercial purposes 
06006004	wetlands	Areas generally marshy and not either under water or dry land. Often related to aquifers for water quality and/or wildlife 
06006005	mountains	Elevated land masses formed over the ages either by erosion, volcanic eruption, or movement of massive geographical formations called plates 
06006006	rivers	Moving water areas bounded by land that extend from earth sources and meander through land areas to join with other water areas. In smaller forms they are creeks, rivulets, streams etc 
06006007	oceans	Salt water masses separating continents or other major geographical masses. smaller forms are seas or lakes or ponds 
06006008	wildlife	All forms of animal life that have not been domesticated 
06006009	energy resources	Such resources as coal, gas, wind, sunlight etc., used to generate heat, electricity and power 
06007000	nature	Taken as a whole the natural environment of flora and fauna 
06007001	invasive species	Non-native plants, animals and other organisms that tend to take over native species 
06008000	population	People and their growth and development within a natural setting 
06009000	waste	Environmental impact of waste, including recycling efforts 
06010000	water	Environmental issues about bodies of water, including oceans, lakes, streams and reservoirs, as well as ice, glaciers and forms of precipitation 
06011000	global warming	All issues relating to global warming including temperature research, remote sensing on temperature trends, debate on global warming, ways to reduce emissions and carbon trading. 
06012000	hazardous materials	Materials that are harmful to humans or animals if they are exposed to them. Includes radiation, poison gases, chemicals, heavy metals, PCBs, and certain plant products 
